"valor_licitacao";"dim_data_abertura_id";"dim_data_resultado_compra_id";"dim_orgao_id";"dim_ug_id";"dim_localizacao_id"
0.0;2335;5439;10;104;780
0.0;3000;5207;4;142;848
0.0;3034;5688;3;1721;1200
114000.0;3050;5136;10;154;779
0.0;3055;5228;82;389;779
975.0;3113;5136;10;154;779
0.0;3133;5422;10;104;780
11776.0;3170;5274;10;154;779
0.0;3181;5705;183;2064;1258
0.0;3231;5228;82;389;779
0.0;3234;5416;10;548;829
76800.0;3245;5187;10;432;780
0.0;3356;5428;93;767;988
32945.0;3387;5171;10;543;780
0.0;3433;5422;10;104;780
0.0;3490;5439;10;104;780
0.0;3493;5439;10;104;780
165998.0;3499;5187;10;432;780
54179.0;3526;5187;10;432;780
0.0;3533;5417;10;631;885
1188000.0;3583;5187;10;432;780
0.0;3622;5711;37;813;822
0.0;3744;5422;10;104;780
760000.0;3750;5187;10;432;780
69192.0;3833;5429;10;104;780
0.0;3855;5429;10;104;780
0.0;3869;5429;10;104;780
0.0;3895;5780;40;405;830
0.0;3897;5407;40;405;830
0.0;3903;5429;10;104;780
0.0;3967;5200;23;290;789
0.0;4078;5417;10;631;885
0.0;4189;5417;10;631;885
47989000.0;4212;5261;50;1111;840
5340.0;4225;5180;3;510;886
0.0;4245;5705;183;2064;1258
0.0;4259;5416;10;548;829
0.0;4295;5429;10;104;780
0.0;4311;5422;10;104;780
0.0;4361;5143;89;262;780
0.0;4427;5346;10;104;780
2498876.0;4429;5254;89;644;814
888492.0;4434;5134;43;202;780
0.0;4449;5417;10;631;885
0.0;4462;5520;154;621;829
0.0;4485;5417;10;631;885
70799.0;4515;5171;111;410;790
1569.0;4527;5129;10;432;780
56976.0;4528;5187;10;432;780
16832431.0;4567;5382;43;75;780
16766.0;4568;5624;10;496;793
0.0;4576;5418;10;494;937
4800.0;4610;5186;10;432;780
0.0;4616;5555;15;632;960
0.0;4619;5523;69;159;794
0.0;4632;5211;11;18;779
850.0;4632;5375;15;130;839
0.0;4644;5157;15;628;788
7750.0;4644;5361;73;940;846
0.0;4655;5191;3;571;905
500000.0;4659;5291;36;280;779
0.0;4665;5157;15;628;788
0.0;4673;5355;8;153;788
101298.0;4674;5159;128;501;779
0.0;4680;5130;8;203;868
1893.0;4693;5186;10;432;780
0.0;4694;5422;10;104;780
4000.0;4695;5305;75;1485;779
0.0;4701;5185;10;514;801
0.0;4715;5555;15;632;960
1499874.0;4716;5149;89;644;814
21457.0;4717;5240;3;792;781
0.0;4718;5156;1;920;801
93422.0;4722;5130;43;202;780
33777.0;4729;5192;10;432;780
1006388.0;4731;5162;89;644;814
62998.0;4731;5185;10;432;780
0.0;4737;5227;30;1406;1120
0.0;4738;5305;75;1485;779
0.0;4743;5157;15;628;788
0.0;4746;5156;1;920;801
3450.0;4752;5145;60;457;838
0.0;4759;5355;8;153;788
320000.0;4763;5122;151;591;816
158.0;4764;5151;137;529;907
0.0;4777;5206;89;262;780
1050.0;4777;5246;127;536;793
5170.0;4778;5124;154;602;829
1596.0;4781;5415;43;75;780
20465.0;4784;5129;89;262;780
2173.0;4786;5123;7;11;780
6899461.0;4787;5157;89;644;814
