"id";"uf";"municipio";"date_from";"date_to";"version"
0;"  ";"     ";"1970-01-01";"2038-01-01";1
778;"  ";"     ";"1970-01-01";"2038-01-01";1
779;"DF";"BRASILIA";"1970-01-01";"2038-01-01";1
780;"RJ";"RIO DE JANEIRO";"1970-01-01";"2038-01-01";1
781;"MS";"CAMPO GRANDE";"1970-01-01";"2038-01-01";1
782;"PA";"MARABA";"1970-01-01";"2038-01-01";1
783;"RS";"JAGUARAO";"1970-01-01";"2038-01-01";1
784;"SP";"ITU";"1970-01-01";"2038-01-01";1
785;"CE";"JUAZEIRO DO NORTE";"1970-01-01";"2038-01-01";1
786;"PR";"CURITIBA";"1970-01-01";"2038-01-01";1
787;"BA";"JUAZEIRO";"1970-01-01";"2038-01-01";1
788;"SP";"SAO PAULO";"1970-01-01";"2038-01-01";1
789;"MG";"BELO HORIZONTE";"1970-01-01";"2038-01-01";1
790;"PI";"TERESINA";"1970-01-01";"2038-01-01";1
791;"MG";"SETE LAGOAS";"1970-01-01";"2038-01-01";1
792;"PR";"PONTA GROSSA";"1970-01-01";"2038-01-01";1
793;"BA";"SALVADOR";"1970-01-01";"2038-01-01";1
794;"RN";"NATAL";"1970-01-01";"2038-01-01";1
795;"SC";"FRAIBURGO";"1970-01-01";"2038-01-01";1
796;"MG";"ITAJUBA";"1970-01-01";"2038-01-01";1
797;"GO";"GOIANIA";"1970-01-01";"2038-01-01";1
798;"RJ";"SEROPEDICA";"1970-01-01";"2038-01-01";1
799;"PR";"CORNELIO PROCOPIO";"1970-01-01";"2038-01-01";1
800;"PB";"JOAO PESSOA";"1970-01-01";"2038-01-01";1
801;"PA";"BELEM";"1970-01-01";"2038-01-01";1
802;"PB";"SOUSA";"1970-01-01";"2038-01-01";1
803;"RO";"ARIQUEMES";"1970-01-01";"2038-01-01";1
804;"RO";"PORTO VELHO";"1970-01-01";"2038-01-01";1
805;"RN";"PAU DOS FERROS";"1970-01-01";"2038-01-01";1
806;"MG";"RIO POMBA";"1970-01-01";"2038-01-01";1
807;"MG";"ARINOS";"1970-01-01";"2038-01-01";1
808;"MG";"ALMENARA";"1970-01-01";"2038-01-01";1
809;"AM";"COARI";"1970-01-01";"2038-01-01";1
810;"PE";"BELO JARDIM";"1970-01-01";"2038-01-01";1
811;"TO";"PARAISO DO TOCANTINS";"1970-01-01";"2038-01-01";1
812;"CE";"TIANGUA";"1970-01-01";"2038-01-01";1
813;"MG";"TRES CORACOES";"1970-01-01";"2038-01-01";1
814;"PE";"RECIFE";"1970-01-01";"2038-01-01";1
815;"RS";"SANTO ANGELO";"1970-01-01";"2038-01-01";1
816;"CE";"FORTALEZA";"1970-01-01";"2038-01-01";1
817;"ES";"VITORIA";"1970-01-01";"2038-01-01";1
818;"SP";"SANTO ANDRE";"1970-01-01";"2038-01-01";1
819;"RS";"PASSO FUNDO";"1970-01-01";"2038-01-01";1
820;"SP";"SAO BERNARDO DO CAMPO";"1970-01-01";"2038-01-01";1
821;"PA";"ITAITUBA";"1970-01-01";"2038-01-01";1
822;"TO";"PALMAS";"1970-01-01";"2038-01-01";1
823;"RN";"MOSSORO";"1970-01-01";"2038-01-01";1
824;"AL";"MACEIO";"1970-01-01";"2038-01-01";1
825;"AM";"PARINTINS";"1970-01-01";"2038-01-01";1
826;"PA";"REDENCAO";"1970-01-01";"2038-01-01";1
827;"RO";"CACOAL";"1970-01-01";"2038-01-01";1
828;"RR";"BOA VISTA";"1970-01-01";"2038-01-01";1
829;"AM";"MANAUS";"1970-01-01";"2038-01-01";1
830;"AC";"RIO BRANCO";"1970-01-01";"2038-01-01";1
831;"MA";"SAO LUIS";"1970-01-01";"2038-01-01";1
832;"PE";"PETROLINA";"1970-01-01";"2038-01-01";1
833;"MG";"PARACATU";"1970-01-01";"2038-01-01";1
834;"RJ";"PARACAMBI";"1970-01-01";"2038-01-01";1
835;"MS";"DOURADOS";"1970-01-01";"2038-01-01";1
836;"SP";"CAMPINAS";"1970-01-01";"2038-01-01";1
837;"SC";"ITAJAI";"1970-01-01";"2038-01-01";1
838;"-3";"Invalido";"1970-01-01";"2038-01-01";1
839;"MG";"LAGOA SANTA";"1970-01-01";"2038-01-01";1
840;"RS";"PORTO ALEGRE";"1970-01-01";"2038-01-01";1
841;"PR";"LONDRINA";"1970-01-01";"2038-01-01";1
842;"RJ";"NITEROI";"1970-01-01";"2038-01-01";1
843;"RS";"SANTA MARIA";"1970-01-01";"2038-01-01";1
844;"MG";"OURO PRETO";"1970-01-01";"2038-01-01";1
845;"PA";"TUCURUI";"1970-01-01";"2038-01-01";1
846;"MA";"IMPERATRIZ";"1970-01-01";"2038-01-01";1
847;"RJ";"NOVA IGUACU";"1970-01-01";"2038-01-01";1
848;"PR";"MARINGA";"1970-01-01";"2038-01-01";1
849;"PI";"LANDRI SALES";"1970-01-01";"2038-01-01";1
850;"SC";"SAO JOSE";"1970-01-01";"2038-01-01";1
851;"RN";"NOVA CRUZ";"1970-01-01";"2038-01-01";1
852;"RS";"SAO VICENTE DO SUL";"1970-01-01";"2038-01-01";1
853;"MA";"CAXIAS";"1970-01-01";"2038-01-01";1
854;"PE";"SAO BENTO DO UNA";"1970-01-01";"2038-01-01";1
855;"MT";"CUIABA";"1970-01-01";"2038-01-01";1
856;"RJ";"CAMPOS DOS GOYTACAZES";"1970-01-01";"2038-01-01";1
857;"RS";"CACHOEIRA DO SUL";"1970-01-01";"2038-01-01";1
858;"RS";"DOM PEDRITO";"1970-01-01";"2038-01-01";1
859;"SP";"RIBEIRAO PRETO";"1970-01-01";"2038-01-01";1
860;"RS";"CAXIAS DO SUL";"1970-01-01";"2038-01-01";1
861;"SP";"SAO JOSE DOS CAMPOS";"1970-01-01";"2038-01-01";1
862;"SC";"FLORIANOPOLIS";"1970-01-01";"2038-01-01";1
