"id";"codigo_ug";"nome_ug";"date_from";"date_to";"version"
0;999;"     ";"1970-01-01";"2038-01-01";1
1;110745;"SECRETARIA ESPECIAL DE AQUICULTURA E PESCA/PR";"1970-01-01";"2038-01-01";1
2;130064;"DISTRITO DE METEOROLOGIA DO R.DE JANEIRO";"1970-01-01";"2038-01-01";1
3;135017;"EMBRAPA/CNPGC";"1970-01-01";"2038-01-01";1
4;160059;"BATALHAO DE GUARDA PRESIDENCIAL";"1970-01-01";"2038-01-01";1
5;160168;"HOSPITAL DA GUARNICAO DE MARABA";"1970-01-01";"2038-01-01";1
6;160383;"12 REGIMENTO DE CAVALARIA MECANIZADO";"1970-01-01";"2038-01-01";1
7;160469;"2o GRUPO DE ARTILHARIA DE CAMPANHA LEVE";"1970-01-01";"2038-01-01";1
8;170042;"DELEGACIA DA RFB EM JUAZEIRO DO NORTE";"1970-01-01";"2038-01-01";1
9;255016;"FUNDACAO NACIONAL DE SAUDE - PR";"1970-01-01";"2038-01-01";1
10;343022;"MUSEUS RAYMUNDO OTTONI DE CASTRO MAYA/RJ";"1970-01-01";"2038-01-01";1
11;365001;"FINANCIADORA DE ESTUDOS E PROJETOS";"1970-01-01";"2038-01-01";1
12;511679;"GERENCIA EXECUTIVA JUAZEIRO";"1970-01-01";"2038-01-01";1
13;710300;"AMAZONIA AZUL TECNOL. DE DEFESA S.A - AMAZUL";"1970-01-01";"2038-01-01";1
14;765705;"UNIDADE INTEGRADA DE SAUDE MENTAL";"1970-01-01";"2038-01-01";1
15;110404;"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"1970-01-01";"2038-01-01";1
16;110511;"CENTRO GESTOR OP. SISTEMA PROTECAO AMAZONIA";"1970-01-01";"2038-01-01";1
17;110592;"SUPERINTENDENCIA REG. DE ADMIN. DA 6a REGIAO";"1970-01-01";"2038-01-01";1
18;112408;"HOSPITAL DAS FORCAS ARMADAS";"1970-01-01";"2038-01-01";1
19;113214;"AGENCIA NACIONAL DE AVIACAO CIVIL";"1970-01-01";"2038-01-01";1
20;113217;"REPRESENTACAO REGIONAL SAO PAULO-ANAC";"1970-01-01";"2038-01-01";1
21;114609;"UNIDADE ESTADUAL DO IBGE NO PIAUI";"1970-01-01";"2038-01-01";1
22;114637;"CENTRO DOC. E DISSEMINACAO DA INFORMACAO/IBGE";"1970-01-01";"2038-01-01";1
23;120006;"GRUPAMENTO DE APOIO DE BRASILIA";"1970-01-01";"2038-01-01";1
24;135009;"EMBRAPA/CPAMN";"1970-01-01";"2038-01-01";1
25;135016;"EMBRAPA/CNPMS";"1970-01-01";"2038-01-01";1
26;135067;"EMBRAPA/SPM - ESCRITORIO PONTA GROSSA";"1970-01-01";"2038-01-01";1
27;135101;"CONAB SEDE SUREG BAHIA";"1970-01-01";"2038-01-01";1
28;135192;"CONAB SEDE SUREG MATO GROSSO DO SUL";"1970-01-01";"2038-01-01";1
29;135457;"CONAB SEDE SUREG RIO GRANDE DO NORTE";"1970-01-01";"2038-01-01";1
30;135626;"CONAB SEDE SUREG DISTRITO FEDERAL E ENTORNO";"1970-01-01";"2038-01-01";1
31;152662;"IF CATARINENSE - CAMPUS FRAIBURGO";"1970-01-01";"2038-01-01";1
32;153010;"CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA";"1970-01-01";"2038-01-01";1
33;153030;"UNIVERSIDADE FEDERAL DE ITAJUBA";"1970-01-01";"2038-01-01";1
34;153054;"HOSPITAL DAS CLINICAS DA UFGO";"1970-01-01";"2038-01-01";1
35;153166;"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"1970-01-01";"2038-01-01";1
36;153176;"UTFPR - CAMPUS CORNELIO PROCOPIO";"1970-01-01";"2038-01-01";1
37;153271;"PRO-REITORIA DE GRADUACAO/UFMG";"1970-01-01";"2038-01-01";1
38;155015;"MATERNIDADE ESCOLA JANUARIO CICCO";"1970-01-01";"2038-01-01";1
39;155124;"HOSP UNIVERSITARIO MARIA APARECIDA PEDROSSIAN";"1970-01-01";"2038-01-01";1
40;158138;"IFPB - REITORIA";"1970-01-01";"2038-01-01";1
41;158172;"HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO";"1970-01-01";"2038-01-01";1
42;158198;"CENTRO DE CIENCIAS JURIDICAS E SOCIAIS/UFCG";"1970-01-01";"2038-01-01";1
43;158343;"INST.FED.RONDONIA/CAMPUS ARIQUEMES-RO";"1970-01-01";"2038-01-01";1
44;158345;"INST.FED.RONDONIA/CAMPUS PORTO VELHO CALAMA";"1970-01-01";"2038-01-01";1
45;158374;"INST.FED.DO RN/CAMPUS PAU DOS FERROS";"1970-01-01";"2038-01-01";1
46;158412;"INST FED SUDESTE DE MG/CAMPUS RIO POMBA";"1970-01-01";"2038-01-01";1
47;158438;"INST.FED.DO NORTE DE MG/CAMPUS ARINOS";"1970-01-01";"2038-01-01";1
48;158439;"INST.FED.DO NORTE DE MG/CAMPUS ALMENARA";"1970-01-01";"2038-01-01";1
49;158447;"IFAM - CAMPUS COARI";"1970-01-01";"2038-01-01";1
50;158478;"IFPE - CAMPUS BELO JARDIM";"1970-01-01";"2038-01-01";1
51;158489;"INST.FED.DO TOCANTINS/CAMPUS PARAISO DO TO";"1970-01-01";"2038-01-01";1
52;158956;"CAMPUS TIANGUA/IFCE";"1970-01-01";"2038-01-01";1
53;160129;"ESCOLA DE SARGENTOS DAS ARMAS";"1970-01-01";"2038-01-01";1
54;160175;"BASE ADMINISTRATIVA DA GUARNICAO DE JP";"1970-01-01";"2038-01-01";1
55;160176;"COMANDO 1o GRUPAMENTO DE ENGENHARIA";"1970-01-01";"2038-01-01";1
56;160193;"CMDO 10a BDA INF MTZ - CONTROLE PATM E CUSTOS";"1970-01-01";"2038-01-01";1
57;160250;"1 BATALHAO DE COMUNICACOES";"1970-01-01";"2038-01-01";1
58;160494;"2o BATALHAO DE SUPRIMENTO";"1970-01-01";"2038-01-01";1
59;170010;"SECRET. ESPECIAL DA RECEITA FEDERAL DO BRASIL";"1970-01-01";"2038-01-01";1
60;170038;"SUPERINTENDENCIA REG. ADM. DO MGI - CEARA";"1970-01-01";"2038-01-01";1
61;170100;"SUPERINT. REG. ADM. DO MGI - ESPIRITO SANTO";"1970-01-01";"2038-01-01";1
62;170114;"SUPERINT. REG. ADM. DO MGI - RIO DE JANEIRO";"1970-01-01";"2038-01-01";1
63;170147;"DELEGACIA DA RFB EM SANTO ANDRE";"1970-01-01";"2038-01-01";1
64;170179;"DELEGACIA DA RFB EM PASSO FUNDO";"1970-01-01";"2038-01-01";1
65;170261;"DELEGACIA DA RFB EM S.BERNARDO DO CAMPO";"1970-01-01";"2038-01-01";1
66;193107;"IBAMA - SUPERINTENDENCIA DO ESPIRITO SANTO/ES";"1970-01-01";"2038-01-01";1
67;193119;"IBAMA - SUPERINTENDENCIA DO RIO DE JANEIRO/RJ";"1970-01-01";"2038-01-01";1
68;194012;"COORDENACAO REGIONAL TAPAJOS/PA";"1970-01-01";"2038-01-01";1
69;200117;"SUPERINTENDENCIA DA PRF EM SAO PAULO";"1970-01-01";"2038-01-01";1
70;200342;"DIRETORIA DE TECNOLOGIA DA INFORM.E INOVACAO";"1970-01-01";"2038-01-01";1
71;200404;"SUPERINTENDENCIA REGIONAL NO ESTADO DE TO";"1970-01-01";"2038-01-01";1
72;200602;"PENITENCIARIA FEDERAL EM MOSSORO - RN";"1970-01-01";"2038-01-01";1
73;240120;"CENTRO BRASILEIRO DE PESQUISAS FISICAS";"1970-01-01";"2038-01-01";1
74;250031;"SUPERINTENDENCIA ESTADUAL DO MS/RJ";"1970-01-01";"2038-01-01";1
75;250057;"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"1970-01-01";"2038-01-01";1
76;250059;"INSTITUTO NACIONAL DE CARDIOLOGIA";"1970-01-01";"2038-01-01";1
77;253003;"AGENCIA NACIONAL DE SAUDE SUPLEMENTAR";"1970-01-01";"2038-01-01";1
78;254422;"INSTITUTO GONCALO MONIZ";"1970-01-01";"2038-01-01";1
79;254423;"INSTITUTO RENNE RACHOU";"1970-01-01";"2038-01-01";1
80;254445;"INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS";"1970-01-01";"2038-01-01";1
81;255012;"FUNDACAO NACIONAL DE SAUDE - MS";"1970-01-01";"2038-01-01";1
82;255017;"FUNDACAO NACIONAL DE SAUDE - PE";"1970-01-01";"2038-01-01";1
83;257023;"DISTRITO SANIT.ESP.INDIGENA AL/SE";"1970-01-01";"2038-01-01";1
84;257030;"DISTRITO SANIT.ESP.INDIGENA - PARINTINS";"1970-01-01";"2038-01-01";1
85;257044;"DISTRITO SANIT.ESP.INDIGENA - KAIAPO REDENCAO";"1970-01-01";"2038-01-01";1
86;257048;"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"1970-01-01";"2038-01-01";1
87;257050;"DISTRITO SANIT.ESP.INDIGENA - VILHENA";"1970-01-01";"2038-01-01";1
88;257052;"DISTRITO SANIT.ESP.INDIGENA - YANOMAMI";"1970-01-01";"2038-01-01";1
89;264005;"FUNDACENTRO/ESCRITORIO AVANCADO NO EST. DE MG";"1970-01-01";"2038-01-01";1
90;343026;"IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA";"1970-01-01";"2038-01-01";1
91;344041;"FUNDACAO CULTURAL PALMARES";"1970-01-01";"2038-01-01";1
92;380937;"SUPERINTENDENCIA REGIONAL DO TRABALHO/GO";"1970-01-01";"2038-01-01";1
93;380947;"SUPERINTENDENCIA REGIONAL DO TRABALHO/RJ";"1970-01-01";"2038-01-01";1
94;393009;"SUPERINTEND. REG. NOS ESTADOS AM - DNIT";"1970-01-01";"2038-01-01";1
95;393025;"SUPERINTENDENCIA REG. NO ESTADO SP - DNIT";"1970-01-01";"2038-01-01";1
96;400060;"SUPERINTENDENCIA REGIONAL DO TRABALHO/AC";"1970-01-01";"2038-01-01";1
97;400069;"SUPERINTENDENCIA REGIONAL DO TRABALHO/MA";"1970-01-01";"2038-01-01";1
98;413007;"AGENCIA NACIONAL DE TELECOMUNICACOES-PE";"1970-01-01";"2038-01-01";1
99;511339;"GERENCIA EXECUTIVA SAO PAULO-SUL";"1970-01-01";"2038-01-01";1
100;533014;"SUPERINTENDENCIA DO DESENVOLV. DO NORDESTE";"1970-01-01";"2038-01-01";1
101;550005;"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"1970-01-01";"2038-01-01";1
102;716000;"PROCURADORIA ESPECIAL DA MARINHA";"1970-01-01";"2038-01-01";1
103;744000;"DIRETORIA DE SISTEMAS DE ARMAS DA MARINHA";"1970-01-01";"2038-01-01";1
104;771300;"CENTRO DE OBTENCAO DA MARINHA NO R.J.";"1970-01-01";"2038-01-01";1
105;781000;"COMANDO DO 1.DISTRITO NAVAL";"1970-01-01";"2038-01-01";1
106;782700;"HOSPITAL NAVAL_DE SALVADOR";"1970-01-01";"2038-01-01";1
107;240105;"INSTIT.NACIONAL DE PESQUISA DA AMAZONIA-INPA";"1970-01-01";"2038-01-01";1
108;154421;"FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO";"1970-01-01";"2038-01-01";1
109;155627;"COLEGIO PEDRO II - CAMPUS REALENGO II";"1970-01-01";"2038-01-01";1
110;158309;"INST.FED.TRIANGULO MINEIRO/CAMPUS PARACATU";"1970-01-01";"2038-01-01";1
111;158484;"CAMPUS PARACAMBI";"1970-01-01";"2038-01-01";1
112;158499;"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"1970-01-01";"2038-01-01";1
113;158560;"IFAM - CAMPUS PARINTINS";"1970-01-01";"2038-01-01";1
114;160045;"BASE ADMINISTRATIVA DA GUARNICAO DE FORTALEZA";"1970-01-01";"2038-01-01";1
115;160174;"15o BI MTZ - CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
116;160340;"16o BI MTZ - CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
117;160522;"28o B LOG - CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
118;170148;"ALFANDEGA DA RFB AEROP.INTERNAC.DE VIRACOPOS";"1970-01-01";"2038-01-01";1
119;257032;"DISTRITO SANIT.ESP.INDIGENA - BAHIA";"1970-01-01";"2038-01-01";1
120;510030;"GERENCIA EXECUTIVA TERESINA";"1970-01-01";"2038-01-01";1
121;511325;"GERENCIA EXECUTIVA SAO PAULO";"1970-01-01";"2038-01-01";1
122;732200;"CENTRO INST.ALMIRANTE MILCIADES PORTELA ALVES";"1970-01-01";"2038-01-01";1
123;767100;"SERVICO DE ASSISTENCIA SOCIAL DA MARINHA";"1970-01-01";"2038-01-01";1
124;785344;"DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI";"1970-01-01";"2038-01-01";1
125;926130;"DIVISAO DE CENTRO DE SERV COMPRATILHADOS BSB";"1970-01-01";"2038-01-01";1
126;926136;"CENTRO DE SERVICOS COMPARTILHADOS SAO PAULO";"1970-01-01";"2038-01-01";1
127;110161;"SUPERINTENDENCIA REG. DE ADMIN. DA 1a REGIAO";"1970-01-01";"2038-01-01";1
128;114622;"SUPERINTENDENCIA ESTADUAL IBGE EM SAO PAULO";"1970-01-01";"2038-01-01";1
129;120039;"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"1970-01-01";"2038-01-01";1
130;120636;"GRUPAMENTO DE APOIO DE LAGOA SANTA";"1970-01-01";"2038-01-01";1
131;130070;"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/PR";"1970-01-01";"2038-01-01";1
132;130103;"LABORATORIO FEDERAL DE DEFESA AGROPECUARIA/RS";"1970-01-01";"2038-01-01";1
133;135029;"EMBRAPA/CNPSO";"1970-01-01";"2038-01-01";1
134;153057;"HOSPITAL UNIVERSITARIO ANTONIO PEDRO";"1970-01-01";"2038-01-01";1
135;153164;"UNIVERSIDADE FEDERAL DE SANTA MARIA";"1970-01-01";"2038-01-01";1
136;154046;"UNIVERSIDADE FEDERAL DE OURO PRETO";"1970-01-01";"2038-01-01";1
137;155010;"HOSPITAL UNIVERSITARIO DA UFMA";"1970-01-01";"2038-01-01";1
138;158481;"INST.FED.DO PARA/CAMPUS TUCURUI";"1970-01-01";"2038-01-01";1
139;170030;"DELEGACIA DA RFB EM IMPERATRIZ";"1970-01-01";"2038-01-01";1
140;170055;"SUPERINTENDENCIA REG. ADM. DO MGI-PERNANBUCO";"1970-01-01";"2038-01-01";1
141;170122;"DELEGACIA DA RFB EM NOVA IGUACU";"1970-01-01";"2038-01-01";1
142;170161;"DELEGACIA DA RFB EM MARINGA";"1970-01-01";"2038-01-01";1
143;170531;"SUPERINTENDENCIA DE ADMINISTRACAO DO ME/DF";"1970-01-01";"2038-01-01";1
144;200109;"POLICIA RODOVIARIA FEDERAL";"1970-01-01";"2038-01-01";1
145;200334;"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"1970-01-01";"2038-01-01";1
146;254421;"INSTITUTO AGGEU MAGALHAES";"1970-01-01";"2038-01-01";1
147;254446;"INSTITUTO DE TECNOLOGIA EM FARMACOS";"1970-01-01";"2038-01-01";1
148;254447;"INST NACIONAL DE SAUDE FERNANDES FIGUEIRA";"1970-01-01";"2038-01-01";1
149;255004;"FUNDACAO NACIONAL DE SAUDE - AM";"1970-01-01";"2038-01-01";1
150;389511;"SENAC - ADMINISTRACAO REGIONAL EM M. GERAIS";"1970-01-01";"2038-01-01";1
151;393001;"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"1970-01-01";"2038-01-01";1
152;423002;"IBRAM - SEDE";"1970-01-01";"2038-01-01";1
153;510178;"SUPERINTENDENCIA REGIONAL SUDESTE I";"1970-01-01";"2038-01-01";1
154;787700;"HOSPITAL NAVAL DE BRASILIA";"1970-01-01";"2038-01-01";1
155;123001;"CAIXA FINANCIAMENTO IMOBILIARIO AERONAUTICA";"1970-01-01";"2038-01-01";1
156;135284;"CONAB SEDE SUREG SANTA CATARINA";"1970-01-01";"2038-01-01";1
157;152144;"IFB - CAMPUS SAO SEBASTIAO";"1970-01-01";"2038-01-01";1
158;152757;"INSTITUTO FEDERAL DO RN - CAMPUS NOVA CRUZ";"1970-01-01";"2038-01-01";1
159;153103;"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1970-01-01";"2038-01-01";1
160;153258;"DIRETORIA DE TECNOLOGIA DA INFORMACAO";"1970-01-01";"2038-01-01";1
161;153292;"INSTITUTO DE CIENCIAS EXATAS/UFMG";"1970-01-01";"2038-01-01";1
162;153295;"COLEGIO TECNICO/UFMG";"1970-01-01";"2038-01-01";1
163;154080;"UNIVERSIDADE FEDERAL DE RORAIMA";"1970-01-01";"2038-01-01";1
164;158268;"INST.FED.FARROUPILHA/CAMPUS SAO VICENTE SUL";"1970-01-01";"2038-01-01";1
165;158316;"CAMPUS JUAZEIRO DO NORTE/IFCE";"1970-01-01";"2038-01-01";1
166;158354;"INST. FED. PIAUI/CAMPUS TERESINA ZONA SUL";"1970-01-01";"2038-01-01";1
167;158456;"INST.FED.DO MARANHAO/CAMPUS CAXIAS";"1970-01-01";"2038-01-01";1
168;160023;"10a COMPANHIA DE ENGENHARIA DE COMBATE";"1970-01-01";"2038-01-01";1
169;160034;"6o BATALHAO DE POLICIA DO EXERCITO";"1970-01-01";"2038-01-01";1
170;160058;"32 GRUPO DE ARTILHARIA DE CAMPANHA";"1970-01-01";"2038-01-01";1
171;160060;"BATALHAO DE POLICIA DO EXERCITO DE BRASILIA";"1970-01-01";"2038-01-01";1
172;160156;"44 BATALHAO DE INFANTARIA MOTORIZADO";"1970-01-01";"2038-01-01";1
173;160184;"10o ESQD C MEC- CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
174;160236;"2a COMPANHIA DE INFANTARIA";"1970-01-01";"2038-01-01";1
175;160268;"2 CIRCUNSCRICAO DE SERVICO MILITAR";"1970-01-01";"2038-01-01";1
176;160366;"13 GRUPO DE ARTILHARIA DE CAMPANHA";"1970-01-01";"2038-01-01";1
177;160488;"COMANDO DA 2  REGIAO MILITAR";"1970-01-01";"2038-01-01";1
178;160526;"3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO";"1970-01-01";"2038-01-01";1
179;160528;"BASE ADMINISTRATIVA DO C COM G EX";"1970-01-01";"2038-01-01";1
180;170052;"DELEGACIA DA RFB EM JOAO PESSOA";"1970-01-01";"2038-01-01";1
181;170138;"DELEGACIA DA RFB EM RIBEIRAO PRETO";"1970-01-01";"2038-01-01";1
182;170178;"DELEGACIA DA RFB EM CAXIAS DO SUL";"1970-01-01";"2038-01-01";1
183;170262;"DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"1970-01-01";"2038-01-01";1
184;193110;"IBAMA - SUPERINTENDENCIA DO MARANHAO/MA";"1970-01-01";"2038-01-01";1
185;200229;"UNIVERSIDADE DA POLICIA RODOVIARIA FEDERAL";"1970-01-01";"2038-01-01";1
186;250015;"SUPERINTENDENCIA ESTADUAL DO MS/AM";"1970-01-01";"2038-01-01";1
187;323016;"SUPERINTENDENCIA DO DNPM-RN";"1970-01-01";"2038-01-01";1
188;495370;"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"1970-01-01";"2038-01-01";1
189;510907;"GERENCIA EXECUTIVA CAXIAS DO SUL";"1970-01-01";"2038-01-01";1
190;765741;"LABORATORIO FARMACEUTICO DA MARINHA";"1970-01-01";"2038-01-01";1
191;781333;"DELEGACIA DA CAPITANIA DOS PORTOS EM MACAE";"1970-01-01";"2038-01-01";1
192;135030;"EMBRAPA/CNPSA";"1970-01-01";"2038-01-01";1
193;153149;"INSTITUTO DE PSIQUIATRIA DA UFRJ";"1970-01-01";"2038-01-01";1
194;154049;"FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS";"1970-01-01";"2038-01-01";1
195;158009;"INST. FED. DO PARANA/ REITORIA";"1970-01-01";"2038-01-01";1
196;160070;"DEPARTAMENTO-GERAL DO PESSOAL";"1970-01-01";"2038-01-01";1
197;200360;"SUPERINTENDENCIA REGIONAL NO ESTADO DE SP";"1970-01-01";"2038-01-01";1
198;245209;"CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVAN";"1970-01-01";"2038-01-01";1
199;250042;"HOSPITAL FEDERAL DE BONSUCESSO";"1970-01-01";"2038-01-01";1
200;257042;"DISTRITO SANIT.ESP.INDIGENA - ALTAMIRA";"1970-01-01";"2038-01-01";1
201;443043;"ICMBIO GR1 NORTE";"1970-01-01";"2038-01-01";1
202;250106;"HOSPITAL FEDERAL DO ANDARAI";"1970-01-01";"2038-01-01";1
203;510921;"GERENCIA EXECUTIVA CANOAS";"1970-01-01";"2038-01-01";1
204;158197;"CENTRO DE FORMACAO DE PROFESSORES DA UFCG";"1970-01-01";"2038-01-01";1
205;158289;"INST.FED.DO MARANHAO/CAMPUS ZE DOCA";"1970-01-01";"2038-01-01";1
206;158301;"CENTRO DE CIENCIAS E TECNOLOGIA AGROALIMENTAR";"1970-01-01";"2038-01-01";1
